backbone,seed,arm,checkpoint_index,step,era_index,era_name,is_transition,steps_since_transition,leg_ordinal,loss,alignment,alignment_proj,cka_drift,cka_drift_proj,cosine_drift,cosine_drift_proj,knn_acc,linear_acc,mean_feature_var,mean_feature_var_proj,offdiag_cov,offdiag_cov_proj,rankme,rankme_proj,uniformity,uniformity_proj
je,0,live,0,0,0,regime0,True,0,0,0.0062833684496581554,0.02787635289132595,0.04362960159778595,0.0,0.0,0.0,0.0,1.0,1.0,0.0007303596357814968,0.0009563742205500603,5.411056918092072e-06,1.553827132738661e-05,11.702680587768555,13.448956489562988,-0.2766817510128021,-0.4729573130607605
je,0,live,1,1,0,regime0,False,1,1,0.004732044879347086,0.02795119397342205,0.06584597378969193,0.0006197690963745117,0.028812289237976074,0.011284828186035156,0.19606047868728638,1.0,1.0,0.0006966827786527574,0.0012333092745393515,4.99511816087761e-06,2.2085814634920098e-05,11.452325820922852,15.011685371398926,-0.26402467489242554,-0.6075611114501953
je,0,live,2,2,1,regime1,True,0,0,-0.0040155197493731976,0.027935801073908806,0.07723775506019592,0.0017965435981750488,0.060160696506500244,0.0346103310585022,0.5126814842224121,1.0,1.0,0.0006678124773316085,0.0011927565792575479,4.673146122513572e-06,2.2115962565294467e-05,11.215608596801758,14.700152397155762,-0.25315847992897034,-0.5863852500915527
je,0,live,3,3,1,regime1,False,1,1,0.0023947209119796753,0.027696289122104645,0.08058562874794006,0.0032029151916503906,0.0729905366897583,0.05488520860671997,0.7134143114089966,1.0,1.0,0.0006418722914531827,0.0011709537357091904,4.349943992565386e-06,2.2103315131971613e-05,11.008212089538574,14.522314071655273,-0.24341388046741486,-0.575070858001709
je,0,live,4,4,2,regime2,True,0,0,0.002160674659535289,0.027690887451171875,0.09367858618497849,0.0047689080238342285,0.08135354518890381,0.07223808765411377,0.834215521812439,1.0,1.0,0.0006241707596927881,0.0012864046730101109,4.126062322029611e-06,2.6244870241498575e-05,10.862689971923828,14.997883796691895,-0.23675791919231415,-0.6306492686271667
je,0,live,5,5,2,regime2,False,1,1,-0.01107060071080923,0.02742433175444603,0.11533563584089279,0.006412625312805176,0.09443420171737671,0.08983111381530762,0.9324407577514648,1.0,1.0,0.0006069701630622149,0.0015311988536268473,3.943188858102076e-06,3.761540574487299e-05,10.709747314453125,15.832529067993164,-0.23027047514915466,-0.74473637342453
je,0,live,6,6,3,regime3,True,0,0,-0.014631222002208233,0.027526644989848137,0.1535307765007019,0.009022414684295654,0.10102391242980957,0.10693669319152832,0.9557956457138062,1.0,1.0,0.0005986299365758896,0.0019123171223327518,3.895394911523908e-06,5.636810965370387e-05,10.605289459228516,17.039011001586914,-0.22708632051944733,-0.9209442734718323
je,0,live,7,7,3,regime3,False,1,1,0.0024080141447484493,0.02771369367837906,0.19638261198997498,0.012736856937408447,0.11238110065460205,0.12726521492004395,1.0195049047470093,1.0,1.0,0.0005937772220931947,0.0022546309046447277,3.916385139746126e-06,7.762094173813239e-05,10.519670486450195,17.963701248168945,-0.22519022226333618,-1.074100375175476
je,1,live,0,0,0,regime0,True,0,0,0.015292586758732796,0.03327927738428116,0.10524548590183258,0.0,0.0,0.0,0.0,1.0,1.0,0.0008606666815467179,0.0017540104454383254,6.633223620156059e-06,3.838580596493557e-05,12.915997505187988,17.377126693725586,-0.3261910676956177,-0.8633471727371216
je,1,live,1,1,0,regime0,False,1,1,-0.0018285810947418213,0.03204376995563507,0.12266285717487335,0.0005853176116943359,0.01970571279525757,0.009342610836029053,0.2483295202255249,1.0,1.0,0.0008104622247628868,0.0015935504343360662,5.831754606333561e-06,3.3235504815820605e-05,12.614738464355469,16.827796936035156,-0.30740609765052795,-0.7860303521156311
